Order_ID,Order_Date,Customer_ID,Customer_Segment,Product_Category,Units_Sold,Unit_Price,Revenue,Discount(%),Festival_Season,Festival_Name,Payment_Method,Delivery_Time(days),Customer_Rating,Returned,Sales
ORD100000,2024-04-12,CUST4062,Regular,Beauty,5,2020,9292.0,8.0,No,Non-Festival,COD,1,3.7,No,8548.640000000001
ORD100001,2024-12-14,CUST9958,New,Home Decor,5,9040,35256.0,22.0,No,Non-Festival,Wallet,5,3.0,No,27499.68
ORD100002,2024-09-27,CUST4260,Premium,Groceries,2,388,760.48,2.0,No,Non-Festival,UPI,5,3.9,No,745.2704
ORD100003,2024-04-16,CUST1476,Regular,Fashion,5,9614,37975.3,21.0,No,Non-Festival,Credit Card,1,4.9,No,30000.487000000005
ORD100004,2024-03-12,CUST3736,New,Groceries,5,5421,16534.05,39.0,No,Non-Festival,COD,5,3.0,Yes,10085.770499999999
ORD100005,2024-07-07,CUST8676,New,Groceries,2,8870,9934.4,44.0,No,Non-Festival,Wallet,5,3.1,No,5563.264
ORD100006,2024-01-21,CUST6255,Regular,Fashion,4,6946,19448.8,30.0,Yes,Republic Day,Credit Card,5,5.0,Yes,13614.159999999998
ORD100007,2024-04-12,CUST2026,Regular,Groceries,4,4812,15205.92,21.0,No,Non-Festival,COD,3,4.7,No,12012.676800000001
ORD100008,2024-05-01,CUST5348,New,Home Decor,2,2088,3758.4,10.0,No,Non-Festival,UPI,3,3.9,No,3382.56
ORD100009,2024-08-02,CUST9498,Premium,Fashion,2,1750,2065.0000000000005,41.0,No,Non-Festival,UPI,4,4.2,No,1218.3500000000004
ORD100010,2024-11-26,CUST4541,Premium,Electronics,4,7259,16840.88,42.0,No,Non-Festival,UPI,4,3.6,No,9767.710400000002
ORD100011,2024-03-28,CUST3905,New,Groceries,4,5433,21297.36,2.0,Yes,Holi,Credit Card,3,3.5,No,20871.412800000002
ORD100012,2024-04-09,CUST5123,Premium,Beauty,4,5835,20305.8,13.0,No,Non-Festival,Credit Card,5,3.6,No,17666.046
ORD100013,2024-12-25,CUST9015,Regular,Fashion,4,233,512.6,45.0,Yes,Christmas/New Year,UPI,2,3.5,No,281.93000000000006
ORD100014,2024-05-31,CUST3227,Premium,Electronics,3,8687,21370.02,18.0,No,Non-Festival,UPI,1,4.2,No,17523.416400000002
ORD100015,2024-05-10,CUST5967,Regular,Beauty,2,1629,2280.6,30.0,No,Non-Festival,COD,4,3.3,No,1596.4199999999998
ORD100016,2024-05-29,CUST3433,Premium,Electronics,1,5446,3539.9,35.0,No,Non-Festival,Wallet,7,2.9,No,2300.935
ORD100017,2024-11-04,CUST5972,Premium,Groceries,3,2187,4527.089999999999,31.0,Yes,Diwali,COD,7,4.3,No,3123.6920999999993
ORD100018,2024-09-14,CUST2819,Regular,Beauty,1,6471,4853.25,25.0,No,Non-Festival,Wallet,5,2.6,No,3639.9375
ORD100019,2024-12-09,CUST4855,Premium,Groceries,1,3082,3082.0,0.0,No,Non-Festival,Credit Card,7,4.3,No,3082.0
ORD100020,2024-10-20,CUST5759,Regular,Beauty,5,1747,8647.65,1.0,Yes,Diwali,COD,4,3.2,No,8561.173499999999
ORD100021,2024-07-10,CUST4332,Regular,Fashion,2,662,1257.8,5.0,No,Non-Festival,Credit Card,6,3.0,No,1194.9099999999999
ORD100022,2024-10-03,CUST8846,Premium,Home Decor,3,6907,11603.76,44.0,No,Non-Festival,Credit Card,2,3.4,No,6498.105600000001
ORD100023,2024-06-09,CUST3225,Regular,Home Decor,2,5505,9578.7,13.0,No,Non-Festival,Wallet,6,2.8,No,8333.469000000001
ORD100024,2024-11-09,CUST7482,Premium,Electronics,4,713,2081.96,27.0,Yes,Diwali,Wallet,5,3.5,No,1519.8308
ORD100025,2024-01-22,CUST9989,Regular,Beauty,2,5374,7308.639999999999,32.0,Yes,Republic Day,COD,7,2.8,No,4969.8751999999995
ORD100026,2024-09-09,CUST3262,Premium,Groceries,1,3766,2862.16,24.0,No,Non-Festival,COD,3,3.7,No,2175.2416
ORD100027,2024-08-23,CUST8447,New,Fashion,4,4003,9767.32,39.0,No,Non-Festival,COD,2,2.9,No,5958.0652
ORD100028,2024-12-10,CUST1025,Premium,Fashion,2,4138,6869.08,17.0,No,Non-Festival,Wallet,4,2.8,No,5701.336399999999
ORD100029,2024-02-18,CUST9274,Regular,Fashion,2,1671,1838.1,45.0,No,Non-Festival,UPI,7,3.9,No,1010.955
ORD100030,2024-02-28,CUST1520,New,Home Decor,1,8203,5496.009999999999,33.0,No,Non-Festival,UPI,5,4.1,No,3682.326699999999
ORD100031,2024-06-18,CUST7101,Regular,Groceries,4,537,1911.72,11.0,No,Non-Festival,Wallet,6,2.5,No,1701.4308
ORD100032,2024-07-06,CUST1283,Regular,Fashion,1,7251,5365.74,26.0,No,Non-Festival,COD,5,3.5,No,3970.6476
ORD100033,2024-09-27,CUST2946,Regular,Fashion,2,7644,11771.76,23.0,No,Non-Festival,UPI,1,2.7,No,9064.2552
ORD100034,2024-07-08,CUST8801,Regular,Electronics,3,3612,7368.48,32.0,No,Non-Festival,Credit Card,7,4.3,Yes,5010.566399999999
ORD100035,2024-06-23,CUST6670,New,Beauty,3,2592,6687.36,14.0,No,Non-Festival,UPI,1,4.2,No,5751.129599999999
ORD100036,2024-02-20,CUST7882,Regular,Beauty,5,1176,3410.4000000000005,42.0,No,Non-Festival,UPI,6,2.6,No,1978.0320000000006
ORD100037,2024-12-29,CUST5181,Premium,Beauty,3,5178,10718.46,31.0,Yes,Christmas/New Year,Wallet,1,4.9,No,7395.737399999999
ORD100038,2024-02-24,CUST2954,Premium,Electronics,4,4268,8706.72,49.0,No,Non-Festival,Wallet,3,4.9,Yes,4440.4272
ORD100039,2024-08-31,CUST7443,Regular,Home Decor,5,1071,4498.2,16.0,Yes,Raksha Bandhan,UPI,5,3.3,No,3778.488
ORD100040,2024-11-15,CUST8865,Premium,Electronics,4,3609,9527.759999999998,34.0,No,Non-Festival,Credit Card,5,2.8,No,6288.321599999998
ORD100041,2024-05-10,CUST1074,Regular,Fashion,3,2789,4518.18,46.0,No,Non-Festival,Credit Card,4,3.8,No,2439.8172000000004
ORD100042,2024-11-02,CUST1436,Regular,Groceries,3,1749,2938.32,44.0,Yes,Diwali,COD,7,4.6,No,1645.4592000000002
ORD100043,2024-05-14,CUST3765,Regular,Fashion,2,4661,6152.52,34.0,No,Non-Festival,UPI,7,3.6,No,4060.6632
ORD100044,2024-01-21,CUST1256,New,Fashion,4,2821,9929.92,12.0,Yes,Republic Day,UPI,7,2.5,No,8738.329600000001
ORD100045,2024-11-24,CUST9359,New,Groceries,1,2729,2510.6800000000003,8.0,No,Non-Festival,Credit Card,3,4.8,No,2309.8256000000006
ORD100046,2024-06-15,CUST2142,Regular,Beauty,2,7362,13398.84,9.0,No,Non-Festival,Wallet,7,4.0,No,12192.9444
ORD100047,2024-09-30,CUST8567,Regular,Electronics,4,8551,34204.0,0.0,No,Non-Festival,UPI,7,4.2,No,34204.0
ORD100048,2024-03-29,CUST8172,Premium,Home Decor,5,6599,22106.65,33.0,Yes,Holi,Credit Card,7,4.6,No,14811.4555
ORD100049,2024-11-11,CUST5196,Regular,Fashion,4,2781,6118.200000000001,45.0,No,Non-Festival,UPI,1,4.5,No,3365.0100000000007
ORD100050,2024-01-14,CUST8755,New,Fashion,5,6765,21648.0,36.0,No,Non-Festival,Wallet,5,2.7,No,13854.720000000001
ORD100051,2024-08-29,CUST1626,Premium,Home Decor,5,7305,27759.0,24.0,Yes,Raksha Bandhan,,1,3.9,No,21096.84
ORD100052,2024-09-21,CUST5824,Regular,Electronics,3,7156,16959.72,21.0,No,Non-Festival,Wallet,2,4.2,No,13398.178800000002
ORD100053,2024-12-11,CUST6442,New,Fashion,1,3134,2851.94,9.0,No,Non-Festival,Wallet,3,2.7,Yes,2595.2654
ORD100054,2024-02-22,CUST1328,Regular,Home Decor,4,2511,7533.0,25.0,No,Non-Festival,Credit Card,1,3.1,No,5649.75
ORD100055,2024-12-05,CUST2147,New,Fashion,1,2995,2455.9,18.0,No,Non-Festival,Credit Card,3,3.5,No,2013.8380000000002
ORD100056,2024-04-01,CUST3674,New,Beauty,5,4528,13810.4,39.0,No,Non-Festival,Wallet,6,4.7,No,8424.344
ORD100057,2024-09-20,CUST5205,Regular,Beauty,3,7023,11798.64,44.0,No,Non-Festival,Credit Card,7,4.6,No,6607.2384
ORD100058,2024-02-04,CUST2791,Regular,Fashion,1,4528,2716.8,40.0,No,Non-Festival,Wallet,5,4.5,No,1630.0800000000002
ORD100059,2024-07-24,CUST7999,New,Fashion,2,3788,3863.76,49.0,No,Non-Festival,Wallet,2,5.0,No,1970.5176000000001
ORD100060,2024-03-21,CUST8182,New,Beauty,5,3316,16082.6,3.0,Yes,Holi,UPI,4,3.1,No,15600.122
ORD100061,2024-02-19,CUST8216,Regular,Fashion,2,4853,5920.66,39.0,No,Non-Festival,Wallet,7,3.7,No,3611.6025999999997
ORD100062,2024-12-25,CUST9037,New,Electronics,1,3947,3789.12,4.0,Yes,Christmas/New Year,COD,2,3.6,No,3637.5552
ORD100063,2024-01-02,CUST9753,Regular,Electronics,1,7024,5057.28,28.0,No,Non-Festival,Credit Card,3,4.2,No,3641.2416
ORD100064,2024-02-23,CUST6329,Regular,Groceries,1,1659,1045.17,37.0,No,Non-Festival,COD,2,4.6,No,658.4571000000001
ORD100065,2024-04-15,CUST7646,New,Electronics,4,4630,17779.2,4.0,No,Non-Festival,Credit Card,5,3.7,No,17068.032
ORD100066,2024-09-16,CUST9673,Regular,Fashion,5,2651,13255.0,0.0,No,Non-Festival,Wallet,3,3.7,No,13255.0
ORD100067,2024-11-05,CUST2056,New,Fashion,5,7531,27488.15,27.0,Yes,Diwali,COD,7,4.0,No,20066.3495
ORD100068,2024-07-09,CUST3381,Regular,Home Decor,5,4290,17589.0,18.0,No,Non-Festival,UPI,3,4.4,No,14422.980000000001
ORD100069,2024-08-05,CUST9543,Premium,Electronics,4,9163,23823.8,35.0,No,Non-Festival,Wallet,5,3.0,No,15485.47
ORD100070,2024-02-13,CUST4604,Regular,Beauty,1,5241,5241.0,0.0,No,Non-Festival,Wallet,6,4.9,No,5241.0
ORD100071,2024-06-10,CUST6732,Premium,Beauty,1,1311,943.92,28.0,No,Non-Festival,Wallet,1,2.7,No,679.6224
ORD100072,2024-07-20,CUST1623,Premium,Groceries,2,9986,12981.8,35.0,No,Non-Festival,UPI,4,2.6,No,8438.17
ORD100073,2024-09-26,CUST9231,Regular,Home Decor,4,9673,26697.48,31.0,No,Non-Festival,COD,6,3.4,No,18421.261199999997
ORD100074,2024-12-16,CUST5277,Premium,Beauty,3,3785,9878.85,13.0,No,Non-Festival,Wallet,7,4.3,No,8594.5995
ORD100075,2024-10-30,CUST8101,Regular,Groceries,4,7801,21530.76,31.0,Yes,Diwali,COD,6,4.9,No,14856.224399999997
ORD100076,2024-09-27,CUST5342,Regular,Electronics,2,2573,2830.3,45.0,No,Non-Festival,Wallet,2,4.8,No,1556.6650000000002
ORD100077,2024-08-02,CUST5742,New,Home Decor,2,7042,12957.28,8.0,No,Non-Festival,Wallet,7,4.2,No,11920.697600000001
ORD100078,2024-09-08,CUST1271,Regular,Home Decor,2,8733,14322.12,18.0,No,Non-Festival,Wallet,7,3.6,No,11744.138400000002
ORD100079,2024-07-08,CUST5752,Premium,Fashion,1,5298,4768.2,10.0,No,Non-Festival,UPI,6,4.0,Yes,4291.38
ORD100080,2024-10-22,CUST9026,Premium,Electronics,3,4923,7827.570000000001,47.0,Yes,Diwali,Wallet,4,3.8,No,4148.6121
ORD100081,2024-07-31,CUST5373,Premium,Home Decor,2,3018,5854.92,3.0,No,Non-Festival,COD,7,3.2,No,5679.2724
ORD100082,2024-07-26,CUST1667,Regular,Groceries,5,3125,9375.0,40.0,No,Non-Festival,Wallet,7,3.7,No,5625.0
ORD100083,2024-08-24,CUST8971,Regular,Beauty,1,9664,7344.64,24.0,No,Non-Festival,COD,4,4.2,No,5581.9264
ORD100084,2024-12-03,CUST9970,Regular,Electronics,3,909,2290.68,16.0,No,Non-Festival,COD,6,2.5,No,1924.1711999999998
ORD100085,2024-02-22,CUST2112,Premium,Electronics,5,7192,19418.4,46.0,No,Non-Festival,Credit Card,5,3.5,Yes,10485.936000000002
ORD100086,2024-10-06,CUST5449,New,Home Decor,3,938,2617.02,7.0,No,Non-Festival,COD,1,3.9,Yes,2433.8286
ORD100087,2024-08-04,CUST6982,Premium,Home Decor,3,4790,8047.200000000001,44.0,No,Non-Festival,Credit Card,4,4.8,No,4506.432000000001
ORD100088,2024-09-08,CUST2348,Regular,Home Decor,5,6287,31435.0,0.0,No,Non-Festival,UPI,3,5.0,No,31435.0
ORD100089,2024-07-06,CUST4027,Regular,Groceries,4,3918,15515.28,1.0,No,Non-Festival,,6,3.9,Yes,15360.1272
ORD100090,2024-02-10,CUST3386,Regular,Fashion,3,8401,22934.73,9.0,No,Non-Festival,UPI,7,4.9,No,20870.6043
ORD100091,2024-06-05,CUST6948,Regular,Home Decor,4,5281,15631.76,26.0,No,Non-Festival,UPI,1,2.7,Yes,11567.5024
ORD100092,2024-01-15,CUST2365,Regular,Fashion,3,2778,6167.16,26.0,No,Non-Festival,COD,5,4.3,No,4563.6984
ORD100093,2024-10-27,CUST3209,Regular,Fashion,5,1758,7735.2,12.0,Yes,Diwali,Wallet,6,3.5,No,6806.976
ORD100094,2024-03-05,CUST2321,Regular,Electronics,3,4200,11340.0,10.0,No,Non-Festival,Wallet,4,4.4,No,10206.0
ORD100095,2024-12-10,CUST5347,Regular,Beauty,2,4745,8256.3,13.0,No,Non-Festival,UPI,6,4.7,No,7182.981
ORD100096,2024-11-22,CUST2387,Regular,Beauty,2,5539,7643.82,31.0,No,Non-Festival,Credit Card,5,2.6,No,5274.2357999999995
ORD100097,2024-01-09,CUST3899,Regular,Groceries,3,9256,23602.8,15.0,No,Non-Festival,Credit Card,2,4.8,No,20062.379999999997
ORD100098,2024-12-09,CUST6418,Regular,Groceries,5,2916,10497.6,28.0,No,Non-Festival,COD,5,2.7,No,7558.272
