Order_ID,Order_Date,Customer_ID,Customer_Segment,Product_Category,Units_Sold,Unit_Price,Revenue,Discount(%),Festival_Season,Festival_Name,Payment_Method,Delivery_Time(days),Customer_Rating,Returned
ORD100000,2024-04-12,CUST4062,Regular,Beauty,5,2020,9292.0,8.0,No,None,COD,1,3.7,No
ORD100001,2024-12-14,CUST9958,New,Home Decor,5,9040,35256.0,22.0,No,None,Wallet,5,3.0,No
ORD100002,2024-09-27,CUST4260,Premium,Groceries,2,388,760.48,2.0,No,None,UPI,5,3.9,No
ORD100003,2024-04-16,CUST1476,Regular,Fashion,5,9614,37975.3,21.0,No,None,Credit Card,1,4.9,No
ORD100004,2024-03-12,CUST3736,New,Groceries,5,5421,16534.05,39.0,No,None,COD,5,3.0,Yes
ORD100005,2024-07-07,CUST8676,New,Groceries,2,8870,9934.400000000001,44.0,No,None,Wallet,5,3.1,No
ORD100006,2024-01-21,CUST6255,Regular,Fashion,4,6946,19448.8,30.0,Yes,Republic Day,Credit Card,5,5.0,Yes
ORD100007,2024-04-12,CUST2026,Regular,Groceries,4,4812,15205.92,21.0,No,None,COD,3,4.7,No
ORD100008,2024-05-01,CUST5348,New,Home Decor,2,2088,3758.4,10.0,No,None,UPI,3,3.9,No
ORD100009,2024-08-02,CUST9498,Premium,Fashion,2,1750,2065.0000000000005,41.0,No,None,UPI,4,4.2,No
ORD100010,2024-11-26,CUST4541,Premium,Electronics,4,7259,16840.88,42.0,No,None,UPI,4,3.6,No
ORD100011,2024-03-28,CUST3905,New,Groceries,4,5433,21297.36,2.0,Yes,Holi,Credit Card,3,3.5,No
ORD100012,2024-04-09,CUST5123,Premium,Beauty,4,5835,20305.8,13.0,No,None,Credit Card,5,3.6,No
ORD100013,2024-12-25,CUST9015,Regular,Fashion,4,233,512.6,45.0,Yes,Christmas/New Year,UPI,2,3.5,No
ORD100014,2024-05-31,CUST3227,Premium,Electronics,3,8687,21370.02,18.0,No,None,UPI,1,4.2,No
ORD100015,2024-05-10,CUST5967,Regular,Beauty,2,1629,2280.6,30.0,No,None,COD,4,3.3,No
ORD100016,2024-05-29,CUST3433,Premium,Electronics,1,5446,3539.9,35.0,No,None,Wallet,7,2.9,No
ORD100017,2024-11-04,CUST5972,Premium,Groceries,3,2187,4527.089999999999,31.0,Yes,Diwali,COD,7,4.3,No
ORD100018,2024-09-14,CUST2819,Regular,Beauty,1,6471,4853.25,25.0,No,None,Wallet,5,2.6,No
ORD100019,2024-12-09,CUST4855,Premium,Groceries,1,3082,3082.0,0.0,No,None,Credit Card,7,4.3,No
ORD100020,2024-10-20,CUST5759,Regular,Beauty,5,1747,8647.65,1.0,Yes,Diwali,COD,4,3.2,No
ORD100021,2024-07-10,CUST4332,Regular,Fashion,2,662,1257.8,5.0,No,None,Credit Card,6,3.0,No
ORD100022,2024-10-03,CUST8846,Premium,Home Decor,3,6907,11603.76,44.0,No,None,Credit Card,2,3.4,No
ORD100023,2024-06-09,CUST3225,Regular,Home Decor,2,5505,9578.7,13.0,No,None,Wallet,6,2.8,No
ORD100024,2024-11-09,CUST7482,Premium,Electronics,4,713,2081.96,27.0,Yes,Diwali,Wallet,5,3.5,No
ORD100025,2024-01-22,CUST9989,Regular,Beauty,2,5374,7308.639999999999,32.0,Yes,Republic Day,COD,7,2.8,No
ORD100026,2024-09-09,CUST3262,Premium,Groceries,1,3766,2862.16,24.0,No,None,COD,3,3.7,No
ORD100027,2024-08-23,CUST8447,New,Fashion,4,4003,9767.32,39.0,No,None,COD,2,2.9,No
ORD100028,2024-12-10,CUST1025,Premium,Fashion,2,4138,6869.08,17.0,No,None,Wallet,4,2.8,No
ORD100029,2024-02-18,CUST9274,Regular,Fashion,2,1671,1838.1000000000001,45.0,No,None,UPI,7,3.9,No
ORD100030,2024-02-28,CUST1520,New,Home Decor,1,8203,5496.009999999999,33.0,No,None,UPI,5,4.1,No
ORD100031,2024-06-18,CUST7101,Regular,Groceries,4,537,1911.72,11.0,No,None,Wallet,6,2.5,No
ORD100032,2024-07-06,CUST1283,Regular,Fashion,1,7251,5365.74,26.0,No,None,COD,5,3.5,No
ORD100033,2024-09-27,CUST2946,Regular,Fashion,2,7644,11771.76,23.0,No,None,UPI,1,2.7,No
ORD100034,2024-07-08,CUST8801,Regular,Electronics,3,3612,7368.48,32.0,No,None,Credit Card,7,4.3,Yes
ORD100035,2024-06-23,CUST6670,New,Beauty,3,2592,6687.36,14.0,No,None,UPI,1,4.2,No
ORD100036,2024-02-20,CUST7882,Regular,Beauty,5,1176,3410.4000000000005,42.0,No,None,UPI,6,2.6,No
ORD100037,2024-12-29,CUST5181,Premium,Beauty,3,5178,10718.46,31.0,Yes,Christmas/New Year,Wallet,1,4.9,No
ORD100038,2024-02-24,CUST2954,Premium,Electronics,4,4268,8706.72,49.0,No,None,Wallet,3,4.9,Yes
ORD100039,2024-08-31,CUST7443,Regular,Home Decor,5,1071,4498.2,16.0,Yes,Raksha Bandhan,UPI,5,3.3,No
ORD100040,2024-11-15,CUST8865,Premium,Electronics,4,3609,9527.759999999998,34.0,No,None,Credit Card,5,2.8,No
ORD100041,2024-05-10,CUST1074,Regular,Fashion,3,2789,4518.18,46.0,No,None,Credit Card,4,,No
ORD100042,2024-11-02,CUST1436,Regular,Groceries,3,1749,2938.32,44.0,Yes,Diwali,COD,7,4.6,No
ORD100043,2024-05-14,CUST3765,Regular,Fashion,2,4661,6152.5199999999995,34.0,No,None,UPI,7,3.6,No
ORD100044,2024-01-21,CUST1256,New,Fashion,4,2821,9929.92,12.0,Yes,Republic Day,UPI,7,2.5,No
ORD100045,2024-11-24,CUST9359,New,Groceries,1,2729,2510.6800000000003,8.0,No,None,Credit Card,3,4.8,No
ORD100046,2024-06-15,CUST2142,Regular,Beauty,2,7362,13398.84,9.0,No,None,Wallet,7,4.0,No
ORD100047,2024-09-30,CUST8567,Regular,Electronics,4,8551,34204.0,0.0,No,None,UPI,7,4.2,No
ORD100048,2024-03-29,CUST8172,Premium,Home Decor,5,6599,22106.649999999998,33.0,Yes,Holi,Credit Card,7,4.6,No
ORD100049,2024-11-11,CUST5196,Regular,Fashion,4,2781,6118.200000000001,45.0,No,None,UPI,1,4.5,No
ORD100050,2024-01-14,CUST8755,New,Fashion,5,6765,21648.0,36.0,No,None,Wallet,5,2.7,No
ORD100051,2024-08-29,CUST1626,Premium,Home Decor,5,7305,27759.0,24.0,Yes,Raksha Bandhan,,1,3.9,No
ORD100052,2024-09-21,CUST5824,Regular,Electronics,3,7156,16959.72,21.0,No,None,Wallet,2,4.2,No
ORD100053,2024-12-11,CUST6442,New,Fashion,1,3134,2851.94,9.0,No,None,Wallet,3,2.7,Yes
ORD100054,2024-02-22,CUST1328,Regular,Home Decor,4,2511,7533.0,25.0,No,None,Credit Card,1,3.1,No
ORD100055,2024-12-05,CUST2147,New,Fashion,1,2995,2455.9,18.0,No,None,Credit Card,3,3.5,No
ORD100056,2024-04-01,CUST3674,New,Beauty,5,4528,13810.4,39.0,No,None,Wallet,6,4.7,No
ORD100057,2024-09-20,CUST5205,Regular,Beauty,3,7023,11798.640000000001,44.0,No,None,Credit Card,7,4.6,No
ORD100058,2024-02-04,CUST2791,Regular,Fashion,1,4528,2716.7999999999997,40.0,No,None,Wallet,5,4.5,No
ORD100059,2024-07-24,CUST7999,New,Fashion,2,3788,3863.76,49.0,No,None,Wallet,2,5.0,No
ORD100060,2024-03-21,CUST8182,New,Beauty,5,3316,16082.6,3.0,Yes,Holi,UPI,4,3.1,No
ORD100061,2024-02-19,CUST8216,Regular,Fashion,2,4853,5920.66,39.0,No,None,Wallet,7,3.7,No
ORD100062,2024-12-25,CUST9037,New,Electronics,1,3947,3789.12,4.0,Yes,Christmas/New Year,COD,2,3.6,No
ORD100063,2024-01-02,CUST9753,Regular,Electronics,1,7024,5057.28,28.0,No,None,Credit Card,3,4.2,No
ORD100064,2024-02-23,CUST6329,Regular,Groceries,1,1659,1045.17,37.0,No,None,COD,2,4.6,No
ORD100065,2024-04-15,CUST7646,New,Electronics,4,4630,17779.2,4.0,No,None,Credit Card,5,3.7,No
ORD100066,2024-09-16,CUST9673,Regular,Fashion,5,2651,13255.0,0.0,No,None,Wallet,3,3.7,No
ORD100067,2024-11-05,CUST2056,New,Fashion,5,7531,27488.149999999998,27.0,Yes,Diwali,COD,7,4.0,No
ORD100068,2024-07-09,CUST3381,Regular,Home Decor,5,4290,17589.0,18.0,No,None,UPI,3,4.4,No
ORD100069,2024-08-05,CUST9543,Premium,Electronics,4,9163,23823.8,35.0,No,None,Wallet,5,3.0,No
ORD100070,2024-02-13,CUST4604,Regular,Beauty,1,5241,5241.0,0.0,No,None,Wallet,6,4.9,No
ORD100071,2024-06-10,CUST6732,Premium,Beauty,1,1311,943.92,28.0,No,None,Wallet,1,2.7,No
ORD100072,2024-07-20,CUST1623,Premium,Groceries,2,9986,12981.800000000001,35.0,No,None,UPI,4,2.6,No
ORD100073,2024-09-26,CUST9231,Regular,Home Decor,4,9673,26697.48,31.0,No,None,COD,6,3.4,No
ORD100074,2024-12-16,CUST5277,Premium,Beauty,3,3785,9878.85,13.0,No,None,Wallet,7,4.3,No
ORD100075,2024-10-30,CUST8101,Regular,Groceries,4,7801,21530.76,31.0,Yes,Diwali,COD,6,4.9,No
ORD100076,2024-09-27,CUST5342,Regular,Electronics,2,2573,2830.3,45.0,No,None,Wallet,2,4.8,No
ORD100077,2024-08-02,CUST5742,New,Home Decor,2,7042,12957.28,8.0,No,None,Wallet,7,4.2,No
ORD100078,2024-09-08,CUST1271,Regular,Home Decor,2,8733,14322.12,18.0,No,None,Wallet,7,3.6,No
ORD100079,2024-07-08,CUST5752,Premium,Fashion,1,5298,4768.2,10.0,No,None,UPI,6,4.0,Yes
ORD100080,2024-10-22,CUST9026,Premium,Electronics,3,4923,7827.570000000001,47.0,Yes,Diwali,Wallet,4,,No
ORD100081,2024-07-31,CUST5373,Premium,Home Decor,2,3018,5854.92,3.0,No,None,COD,7,3.2,No
ORD100082,2024-07-26,CUST1667,Regular,Groceries,5,3125,9375.0,40.0,No,None,Wallet,7,3.7,No
ORD100083,2024-08-24,CUST8971,Regular,Beauty,1,9664,7344.64,24.0,No,None,COD,4,4.2,No
ORD100084,2024-12-03,CUST9970,Regular,Electronics,3,909,2290.68,16.0,No,None,COD,6,2.5,No
ORD100085,2024-02-22,CUST2112,Premium,Electronics,5,7192,19418.4,46.0,No,None,Credit Card,5,3.5,Yes
ORD100086,2024-10-06,CUST5449,New,Home Decor,3,938,2617.02,7.0,No,None,COD,1,3.9,Yes
ORD100087,2024-08-04,CUST6982,Premium,Home Decor,3,4790,8047.200000000001,44.0,No,None,Credit Card,4,4.8,No
ORD100088,2024-09-08,CUST2348,Regular,Home Decor,5,6287,31435.0,0.0,No,None,UPI,3,5.0,No
ORD100089,2024-07-06,CUST4027,Regular,Groceries,4,3918,15515.28,1.0,No,None,,6,3.9,Yes
ORD100090,2024-02-10,CUST3386,Regular,Fashion,3,8401,22934.73,9.0,No,None,UPI,7,4.9,No
ORD100091,2024-06-05,CUST6948,Regular,Home Decor,4,5281,15631.76,26.0,No,,UPI,1,2.7,Yes
ORD100092,2024-01-15,CUST2365,Regular,Fashion,3,2778,6167.16,26.0,No,None,COD,5,4.3,No
ORD100093,2024-10-27,CUST3209,Regular,Fashion,5,1758,7735.2,12.0,Yes,Diwali,Wallet,6,3.5,No
ORD100094,2024-03-05,CUST2321,Regular,Electronics,3,4200,11340.0,10.0,No,None,Wallet,4,4.4,No
ORD100095,2024-12-10,CUST5347,Regular,Beauty,2,4745,8256.3,13.0,No,None,UPI,6,4.7,No
ORD100096,2024-11-22,CUST2387,Regular,Beauty,2,5539,7643.82,31.0,No,None,Credit Card,5,2.6,No
ORD100097,2024-01-09,CUST3899,Regular,Groceries,3,9256,23602.8,15.0,No,None,Credit Card,2,4.8,No
ORD100098,2024-12-09,CUST6418,Regular,Groceries,5,2916,10497.6,28.0,No,None,COD,5,2.7,No
ORD100099,2024-05-08,CUST2931,Regular,Beauty,5,4502,14181.3,37.0,No,None,Credit Card,3,4.4,Yes
ORD100100,2024-05-15,CUST1378,Premium,Beauty,1,2009,1346.0299999999997,33.0,No,None,Credit Card,5,2.7,No
ORD100101,2024-03-03,CUST9142,Regular,Electronics,5,6030,22612.5,25.0,No,None,UPI,1,4.7,No
ORD100102,2024-05-18,CUST5331,Regular,Electronics,4,2197,8436.48,4.0,No,None,Credit Card,2,3.0,No
ORD100103,2024-03-21,CUST1236,Regular,Beauty,3,3131,7702.26,18.0,Yes,Holi,Wallet,6,3.6,No
ORD100104,2024-06-11,CUST7188,Regular,Home Decor,2,2330,2889.2,38.0,No,None,UPI,6,4.8,No
ORD100105,2024-10-15,CUST5564,Regular,Home Decor,5,4612,16833.8,27.0,No,None,UPI,3,4.5,No
ORD100106,2024-09-17,CUST2109,Regular,Electronics,2,6713,9800.98,27.0,No,None,Credit Card,2,4.5,No
ORD100107,2024-08-18,CUST2770,Premium,Fashion,1,2996,2516.64,16.0,Yes,Independence Day,Wallet,3,4.4,Yes
ORD100108,2024-02-10,CUST3163,Regular,Beauty,3,7948,15260.16,36.0,No,None,Wallet,6,3.9,No
ORD100109,2024-01-28,CUST7845,Regular,Groceries,5,6523,18590.550000000003,43.0,Yes,Republic Day,Credit Card,2,4.9,No
ORD100110,2024-05-14,CUST2393,New,Home Decor,2,6945,11389.800000000001,18.0,No,None,Wallet,4,4.6,No
ORD100111,2024-07-19,CUST1050,Regular,Fashion,5,5402,19987.4,26.0,No,None,COD,5,3.6,No
ORD100112,2024-11-23,CUST9555,Regular,Home Decor,1,1755,895.0500000000001,49.0,No,None,COD,1,4.4,No
ORD100113,2024-09-24,CUST7799,New,Fashion,2,8381,14918.18,11.0,No,None,Credit Card,1,5.0,No
ORD100114,2024-02-02,CUST2930,New,Beauty,2,4643,9100.28,2.0,No,None,UPI,4,4.7,No
ORD100115,2024-02-17,CUST2788,Regular,Beauty,3,8722,25381.02,3.0,No,None,UPI,7,2.5,No
ORD100116,2024-03-02,CUST9465,Regular,Beauty,3,4905,7946.1,46.0,No,None,Wallet,2,4.3,No
